Nazwa pliku;Powtorzenia algorytmu;Optymalny koszt;Schemat chłodzenia;Sposób zamiany;Liczba epok;Temperatura startowa;Wyspółczynnik wychładzania;Czas 1;Koszt 1;Strata 1;Czas 2;Koszt 2;Strata 2;Czas 3;Koszt 3;Strata 3;Średnia strata
rbg_323.atsp;3;1326;geometric;two-opt;0;1250;0.999;1.0016;6200;367.572;2.0011;6262;372.247;1.0011;6198;367.421;369.08
rbg_323.atsp;3;1326;geometric;two-opt;9690;1250;0.999;3911.38;1819;37.1795;3883.03;1825;37.632;3918.68;1816;36.9532;37.2549
rbg_323.atsp;3;1326;geometric;two-opt;19380;1250;0.999;7779.22;1709;28.8839;7780.08;1664;25.4902;7772.28;1643;23.9065;26.0935
rbg_323.atsp;3;1326;geometric;two-opt;29070;1250;0.999;11789.2;1628;22.7753;11648.5;1578;19.0045;11672.9;1577;18.9291;20.2363
rbg_323.atsp;3;1326;geometric;two-opt;38760;1250;0.999;15500.9;1576;18.8537;15589.7;1598;20.5128;15630.7;1638;23.5294;20.9653
rbg_323.atsp;3;1326;geometric;two-opt;48450;1250;0.999;19434;1565;18.0241;19439.5;1564;17.9487;19443.2;1634;23.2278;19.7335
rbg_323.atsp;3;1326;boltzmann;two-opt;0;1250;boltzmann;1.001;6028;354.6;1.2707;6094;359.578;1.0008;6145;363.424;359.201
rbg_323.atsp;3;1326;boltzmann;two-opt;9690;1250;boltzmann;258.18;2626;98.0392;259.235;2590;95.3243;258.235;2620;97.5867;96.9834
rbg_323.atsp;3;1326;boltzmann;two-opt;19380;1250;boltzmann;514.489;2295;73.0769;514.469;2429;83.1825;518.603;2363;78.2051;78.1548
rbg_323.atsp;3;1326;boltzmann;two-opt;29070;1250;boltzmann;771.005;2122;60.0302;777.642;2215;67.0437;776.61;2243;69.1554;65.4097
rbg_323.atsp;3;1326;boltzmann;two-opt;38760;1250;boltzmann;1031.33;2102;58.5219;1028.41;2134;60.9351;1031.73;2215;67.0437;62.1669
rbg_323.atsp;3;1326;boltzmann;two-opt;48450;1250;boltzmann;1285.01;2151;62.2172;1295.12;2103;58.5973;1281.09;2070;56.1086;58.9744
rbg_323.atsp;3;1326;boltzmann;arc;0;1250;boltzmann;1.02;5996;352.187;1.001;6279;373.529;14;6293;374.585;366.767
rbg_323.atsp;3;1326;boltzmann;arc;9690;1250;boltzmann;260.479;2933;121.192;262.929;2906;119.155;264.252;2791;110.483;116.943
rbg_323.atsp;3;1326;boltzmann;arc;19380;1250;boltzmann;521.478;2665;100.98;521.948;2500;88.537;521.608;2495;88.1599;92.5591
rbg_323.atsp;3;1326;boltzmann;arc;29070;1250;boltzmann;781.429;2352;77.3756;784.75;2389;80.1659;780.337;2447;84.54;80.6938
rbg_323.atsp;3;1326;boltzmann;arc;38760;1250;boltzmann;1039.72;2368;78.5822;1039.76;2339;76.3952;1040.26;2268;71.0407;75.3394
rbg_323.atsp;3;1326;boltzmann;arc;48450;1250;boltzmann;1307.84;2117;59.6531;1299.32;2191;65.2338;1312.36;2207;66.4404;63.7758
rbg_323.atsp;3;1326;geometric;arc;0;1250;0.999;1.0003;6032;354.902;1.0009;6051;356.335;1.0009;6206;368.024;359.754
rbg_323.atsp;3;1326;geometric;arc;9690;1250;0.999;3955.06;1868;40.8748;3959.27;1946;46.7572;3963.11;1903;43.5143;43.7154
rbg_323.atsp;3;1326;geometric;arc;19380;1250;0.999;7905.52;1812;36.6516;7993.9;1829;37.9336;7954.82;1788;34.8416;36.4756
rbg_323.atsp;3;1326;geometric;arc;29070;1250;0.999;11897.8;1690;27.451;11873.3;1788;34.8416;11918.4;1736;30.9201;31.0709
rbg_323.atsp;3;1326;geometric;arc;38760;1250;0.999;15963;1655;24.8115;15923.8;1649;24.359;15869;1635;23.3032;24.1579
rbg_323.atsp;3;1326;geometric;arc;48450;1250;0.999;19698.1;1673;26.1689;20472.5;1641;23.7557;19976.3;1692;27.6018;25.8421
