Nazwa pliku;Powtorzenia algorytmu;Optymalny koszt;Schemat chłodzenia;Sposób zamiany;Liczba epok;Temperatura startowa;Wyspółczynnik wychładzania;Czas 1;Koszt 1;Strata 1;Czas 2;Koszt 2;Strata 2;Czas 3;Koszt 3;Strata 3;Czas 4;Koszt 4;Strata 4;Czas 5;Koszt 5;Strata 5;Czas 6;Koszt 6;Strata 6;Czas 7;Koszt 7;Strata 7;Czas 8;Koszt 8;Strata 8;Czas 9;Koszt 9;Strata 9;Czas 10;Koszt 10;Strata 10;Czas 11;Koszt 11;Strata 11;Czas 12;Koszt 12;Strata 12;Czas 13;Koszt 13;Strata 13;Czas 14;Koszt 14;Strata 14;Czas 15;Koszt 15;Strata 15;Czas 16;Koszt 16;Strata 16;Czas 17;Koszt 17;Strata 17;Czas 18;Koszt 18;Strata 18;Czas 19;Koszt 19;Strata 19;Czas 20;Koszt 20;Strata 20;Czas 21;Koszt 21;Strata 21;Czas 22;Koszt 22;Strata 22;Czas 23;Koszt 23;Strata 23;Czas 24;Koszt 24;Strata 24;Czas 25;Koszt 25;Strata 25;Czas 26;Koszt 26;Strata 26;Czas 27;Koszt 27;Strata 27;Czas 28;Koszt 28;Strata 28;Czas 29;Koszt 29;Strata 29;Czas 30;Koszt 30;Strata 30;Średnia strata;
tsp_17.txt;30;39;boltzmann;two-opt;0;1000;boltzmann;4003.5;39;0;4003.4;39;0;5004.3;39;0;4018.2;39;0;4003.7;41;5.1282;5004.4;39;0;4004.6;41;5.1282;5003.5;39;0;4526.1;41;5.1282;8007.1;39;0;5000.6;39;0;5004.8;39;0;3972.8;39;0;5004.5;39;0;4369.1;39;0;6006.6;39;0;4507.7;39;0;4003.3;40;2.56411;5005;40;2.56411;4003.5;40;2.56411;5008.4;39;0;4001.4;39;0;5004.2;39;0;4003.9;39;0;5004.2;39;0;5004.9;39;0;5004.9;39;0;4003;39;0;5004.5;39;0;4009.3;39;0;0.769234;
tsp_17.txt;30;39;boltzmann;two-opt;510;1000;boltzmann;4004;40;2.56411;5005.5;39;0;4002.8;39;0;4003.5;39;0;4004;39;0;4003.6;39;0;4003.2;39;0;4003.5;39;0;5004.2;39;0;4004;40;2.56411;5004.2;42;7.69231;4004.1;39;0;5004.6;39;0;4003.8;40;2.56411;5003.9;39;0;4004.1;39;0;5004.1;40;2.56411;4004.3;39;0;5005.1;40;2.56411;4002.8;39;0;4003.4;39;0;4003.6;39;0;5004.5;40;2.56411;4003.6;39;0;4005;39;0;4003.5;42;7.69231;4005;39;0;4003.7;39;0;5005.4;40;2.56411;4506.5;42;7.69231;1.36752;
tsp_17.txt;30;39;boltzmann;two-opt;1020;1000;boltzmann;4002.9;40;2.56411;4003.7;39;0;5004.5;40;2.56411;4004.5;40;2.56411;5004.5;39;0;4005.1;39;0;4003.6;41;5.1282;5010.2;41;5.1282;3999.1;39;0;5004.8;40;2.56411;4003.4;39;0;5004.7;39;0;5008.6;39;0;4003.3;39;0;4504.7;39;0;5005;39;0;5006.1;39;0;4003.7;39;0;4003.4;40;2.56411;5319.2;39;0;4004;39;0;5004.9;40;2.56411;4003.2;39;0;4004.1;40;2.56411;4003.2;41;5.1282;4003.6;40;2.56411;4002.8;39;0;4003.7;39;0;5004.6;40;2.56411;4003.6;39;0;1.28205;
tsp_17.txt;30;39;boltzmann;two-opt;1530;1000;boltzmann;4003.1;41;5.1282;5004.2;39;0;5004.5;40;2.56411;4004;39;0;5004.2;39;0;4004;39;0;5004.8;39;0;4003.3;40;2.56411;5005.2;40;2.56411;4003.1;39;0;4003.9;39;0;4003.2;40;2.56411;5005;39;0;5004.8;39;0;4003.5;39;0;5005;39;0;4003.2;39;0;5004.1;42;7.69231;4003.9;39;0;4003.3;39;0;4005.2;39;0;5004.8;39;0;4003.4;39;0;5004.2;39;0;4004.3;39;0;5004.2;39;0;4004.1;39;0;5003.7;40;2.56411;4004.3;40;2.56411;5005.4;39;0;0.940168;
tsp_17.txt;30;39;boltzmann;two-opt;2040;1000;boltzmann;4002.6;39;0;4003.9;39;0;5004.2;39;0;4004;39;0;5004.2;39;0;4004.4;42;7.69231;5003.8;40;2.56411;4004;39;0;5004.2;39;0;4004.1;40;2.56411;5004.4;40;2.56411;4003.6;39;0;4003.3;40;2.56411;4004;41;5.1282;4003.5;39;0;4003.2;39;0;4003;40;2.56411;4003.7;41;5.1282;5004.1;39;0;4004;41;5.1282;5004.6;39;0;4003.8;39;0;5004.6;41;5.1282;4003.8;40;2.56411;5003.7;39;0;4004.1;39;0;4003.8;39;0;5005;39;0;4003.7;41;5.1282;5004.1;41;5.1282;1.79487;
tsp_17.txt;30;39;boltzmann;two-opt;2550;1000;boltzmann;5004;40;2.56411;4004.1;39;0;5004.1;39;0;4004;41;5.1282;4003.6;39;0;5004.5;39;0;4003.8;39;0;5004.1;39;0;4005.2;45;15.3846;5003.9;39;0;4003.1;40;2.56411;5004.6;40;2.56411;4003.6;39;0;5004.3;39;0;4003.8;44;12.8205;5005.3;41;5.1282;4003;40;2.56411;5004.8;40;2.56411;4003.3;39;0;4003.3;40;2.56411;5004.9;39;0;4003.7;44;12.8205;5004.7;39;0;4003.4;39;0;5004.3;44;12.8205;4003.9;39;0;5004.9;39;0;4003.3;39;0;5004.7;40;2.56411;4003.5;41;5.1282;2.90599;
tsp_26.txt;30;937;boltzmann;two-opt;0;1000;boltzmann;7005.7;1050;12.0598;8007.5;1066;13.7673;8006.8;1035;10.4589;7006.8;994;6.08325;7005.9;997;6.40341;7005.7;997;6.40341;8007.5;1089;16.222;7006;1099;17.2892;8007.4;994;6.08325;7005.7;1037;10.6724;8007.9;1032;10.1387;7005.7;1076;14.8346;7006.1;1008;7.57737;8007.6;1085;15.7951;7007.6;1075;14.7279;8005.5;1042;11.206;7426.5;1054;12.4867;8003.5;1010;7.79082;8008.2;1118;19.317;8008;1076;14.8346;8009.4;1030;9.92529;7005.9;978;4.37567;8007.3;955;1.92102;7007.4;1110;18.4632;7006.8;1066;13.7673;8007.2;1125;20.064;7005.8;972;3.73533;7006;1131;20.7044;8007.7;937;0;8006.9;974;3.94877;11.0352;
tsp_26.txt;30;937;boltzmann;two-opt;780;1000;boltzmann;8008.2;1053;12.3799;7005.4;1034;10.3522;7005.9;978;4.37567;8007.8;1064;13.5539;7005.7;1131;20.7044;7006;978;4.37567;8007.4;1023;9.17823;8007.3;1145;22.1985;8007.9;955;1.92102;8006.6;1052;12.2732;8008;999;6.61687;7005.5;1018;8.6446;7006.3;1066;13.7673;8007.6;1086;15.9018;8006.6;966;3.09498;7006.3;1030;9.92529;7007.7;1054;12.4867;8006.7;1032;10.1387;8007.4;1050;12.0598;7005.9;988;5.44291;8007.1;1080;15.2615;7006;1085;15.7951;7006.4;1124;19.9573;8006.7;1124;19.9573;8007.1;1062;13.3404;7006.9;1009;7.6841;8007.2;1084;15.6884;7006;995;6.18997;7005.1;937;0;8007.5;1027;9.60512;11.0957;
tsp_26.txt;30;937;boltzmann;two-opt;1560;1000;boltzmann;7005.7;1059;13.0203;8007.8;1023;9.17823;8007.1;1045;11.5261;7006.6;1119;19.4237;8007.3;1024;9.28495;7005.8;1163;24.1195;7006.1;960;2.45464;8007.4;1106;18.0363;8007.3;955;1.92102;8007.9;1090;16.3287;8007.2;1032;10.1387;7005.6;1070;14.1942;8007.3;1001;6.83031;8007.5;1154;23.159;8007.3;1025;9.39168;8007.4;1004;7.15048;7006;1108;18.2497;7006.7;1036;10.5656;8007.4;1002;6.93704;8007.3;1083;15.5816;7006.3;1121;19.6371;7005.9;1044;11.4194;7005.7;986;5.22946;8007.3;988;5.44291;8007.7;1044;11.4194;7005.9;1101;17.5027;7006.5;1117;19.2102;8007;1044;11.4194;8007.4;1050;12.0598;8007.1;1018;8.6446;12.3159;
tsp_26.txt;30;937;boltzmann;two-opt;2340;1000;boltzmann;8007.3;1127;20.2775;7006.1;1179;25.8271;7005.7;993;5.97652;8007.5;962;2.66809;8007.3;1058;12.9135;7006.4;1055;12.5934;7005.8;1034;10.3522;8007.5;1136;21.238;8007;1130;20.5976;7005.9;1052;12.2732;8007.2;1080;15.2615;7006.7;1164;24.2262;8006.9;1064;13.5539;8007.5;976;4.16222;7006.6;972;3.73533;8006.9;1030;9.92529;7007.1;1108;18.2497;8007;980;4.58912;8006.5;1034;10.3522;7006.8;1041;11.0993;8007.4;1008;7.57737;8007.4;1045;11.5261;11010;953;1.70758;8007.1;968;3.30843;8007.6;1036;10.5656;8007.3;1029;9.81857;7005.9;1110;18.4632;9008.5;955;1.92102;8007.3;977;4.26894;8007.4;1049;11.953;11.3661;
