Nazwa pliku;Powtorzenia algorytmu;Optymalny koszt;Schemat chłodzenia;Sposób zamiany;Liczba epok;Temperatura startowa;Wyspółczynnik wychładzania;Czas 1;Koszt 1;Strata 1;Czas 2;Koszt 2;Strata 2;Czas 3;Koszt 3;Strata 3;Czas 4;Koszt 4;Strata 4;Czas 5;Koszt 5;Strata 5;Czas 6;Koszt 6;Strata 6;Czas 7;Koszt 7;Strata 7;Czas 8;Koszt 8;Strata 8;Czas 9;Koszt 9;Strata 9;Czas 10;Koszt 10;Strata 10;Czas 11;Koszt 11;Strata 11;Czas 12;Koszt 12;Strata 12;Czas 13;Koszt 13;Strata 13;Czas 14;Koszt 14;Strata 14;Czas 15;Koszt 15;Strata 15;Czas 16;Koszt 16;Strata 16;Czas 17;Koszt 17;Strata 17;Czas 18;Koszt 18;Strata 18;Czas 19;Koszt 19;Strata 19;Czas 20;Koszt 20;Strata 20;Czas 21;Koszt 21;Strata 21;Czas 22;Koszt 22;Strata 22;Czas 23;Koszt 23;Strata 23;Czas 24;Koszt 24;Strata 24;Czas 25;Koszt 25;Strata 25;Czas 26;Koszt 26;Strata 26;Czas 27;Koszt 27;Strata 27;Czas 28;Koszt 28;Strata 28;Czas 29;Koszt 29;Strata 29;Czas 30;Koszt 30;Strata 30;Średnia strata;�redni czas
tsp_17.txt;30;39;boltzmann;two-opt;0;1000;boltzmann;6005.4;39;0;9008.2;39;0;6004.8;39;0;7006;39;0;7006.8;41;5.1282;7006.1;39;0;5005.2;41;5.1282;5004.4;39;0;4003.9;41;5.1282;4003.5;39;0;5005;39;0;4341.4;39;0;4004.1;39;0;4011.8;39;0;4003.4;39;0;5004.1;39;0;4004.3;39;0;5004.8;40;2.56411;5004.6;40;2.56411;4003.1;40;2.56411;4977.8;39;0;5005.2;39;0;4507.9;39;0;5004.7;39;0;4003.5;39;0;4000.1;39;0;4004;39;0;5005.1;39;0;7005.7;39;0;4004.3;39;0;0.769234;5065.306667
tsp_17.txt;30;39;boltzmann;two-opt;510;1000;boltzmann;4003.8;40;2.56411;5005;39;0;5004.1;39;0;4003;39;0;4005;39;0;4002.9;39;0;5005.1;39;0;5004.4;39;0;5004.5;39;0;5004.8;40;2.56411;4508.4;42;7.69231;5005;39;0;5007.5;39;0;5005.2;40;2.56411;5003.3;39;0;4003.8;39;0;4004.4;40;2.56411;3538.9;39;0;6005.8;40;2.56411;5077.4;39;0;7517.2;39;0;4999.9;39;0;5003.4;40;2.56411;7006.4;39;0;5004.4;39;0;4004;42;7.69231;4009.8;39;0;4999.5;39;0;5004.8;40;2.56411;5004.7;42;7.69231;1.36752;4858.546667
tsp_17.txt;30;39;boltzmann;two-opt;1020;1000;boltzmann;5004.8;40;2.56411;4003.3;39;0;4003.8;40;2.56411;4003.5;40;2.56411;5004.9;39;0;4002.8;39;0;5004.7;41;5.1282;6005.6;41;5.1282;5153.1;39;0;5004.8;40;2.56411;15013.1;39;0;5004.7;39;0;5546.6;39;0;6005.9;39;0;5004.6;39;0;5004.3;39;0;5004.3;39;0;5004.5;39;0;4004.2;40;2.56411;5003.8;39;0;5004.8;39;0;5005.6;40;2.56411;8006.6;39;0;5004.9;40;2.56411;5003.9;41;5.1282;4003.9;40;2.56411;4003.4;39;0;6008.4;39;0;5001.4;40;2.56411;5004;39;0;1.28205;5327.806667
tsp_17.txt;30;39;boltzmann;two-opt;1530;1000;boltzmann;5004.4;41;5.1282;4003.7;39;0;5005.2;40;2.56411;5004;39;0;4013.5;39;0;3995.5;39;0;5004.7;39;0;4003.6;40;2.56411;5004.3;40;2.56411;4004.2;39;0;16014.9;39;0;5004;40;2.56411;4003.9;39;0;4003.8;39;0;6005;39;0;4006.5;39;0;5004.7;39;0;4024.6;42;7.69231;4003.5;39;0;5005.1;39;0;5004;39;0;5005.1;39;0;6005.9;39;0;5003.5;39;0;4003.5;39;0;5003.9;39;0;5005;39;0;5004.5;40;2.56411;4003.1;40;2.56411;8007.6;39;0;0.940168;5138.84
tsp_17.txt;30;39;boltzmann;two-opt;2040;1000;boltzmann;8007.1;39;0;8007.1;39;0;5005.2;39;0;4003.7;39;0;4004.4;39;0;5003.6;42;7.69231;4003.8;40;2.56411;4003.6;39;0;5005;39;0;5004.1;40;2.56411;4003.7;40;2.56411;5004.9;39;0;5004.3;40;2.56411;5004.6;41;5.1282;5004.7;39;0;4003.5;39;0;5004.5;40;2.56411;5004.2;41;5.1282;4004.7;39;0;4002.6;41;5.1282;4677.4;39;0;4003.8;39;0;5004.9;41;5.1282;5005.2;40;2.56411;4030.8;39;0;4003;39;0;4003.5;39;0;4003.8;39;0;4003.3;41;5.1282;5004.1;41;5.1282;1.79487;4727.636667
tsp_17.txt;30;39;boltzmann;two-opt;2550;1000;boltzmann;4004.3;40;2.56411;5004;39;0;4004.5;39;0;4003.5;41;5.1282;4003.4;39;0;4050.1;39;0;5001.1;39;0;9008.1;39;0;8007.1;45;15.3846;7006.4;39;0;8007.7;40;2.56411;13012.1;40;2.56411;4003.1;39;0;4003.9;39;0;6005.2;44;12.8205;4003.8;41;5.1282;4003.3;40;2.56411;6238.8;40;2.56411;4003.8;39;0;4004.1;40;2.56411;4003.7;39;0;4003.4;44;12.8205;4005.7;39;0;6005.6;39;0;3998.9;44;12.8205;5004.7;39;0;4003.5;39;0;4003.5;39;0;4003.8;40;2.56411;4004.3;41;5.1282;2.90599;5147.18
tsp_26.txt;30;937;boltzmann;two-opt;0;1000;boltzmann;8007;1050;12.0598;8006.6;1066;13.7673;8007.6;1035;10.4589;8007.4;994;6.08325;7007;997;6.40341;10008.3;997;6.40341;9008.5;1089;16.222;9008.2;1099;17.2892;8007.3;994;6.08325;8006.7;1037;10.6724;7007;1032;10.1387;7531.2;1076;14.8346;7006.4;1008;7.57737;7598.5;1085;15.7951;8008.1;1075;14.7279;8007;1042;11.206;10009.6;1054;12.4867;7006.3;1010;7.79082;7006.6;1118;19.317;9007.6;1076;14.8346;7006.9;1030;9.92529;7007;978;4.37567;7006;955;1.92102;8007.2;1110;18.4632;13011.8;1066;13.7673;14012.2;1125;20.064;9933.5;972;3.73533;10010.4;1131;20.7044;8007.4;937;0;7006.1;974;3.94877;11.0352;8409.046667
tsp_26.txt;30;937;boltzmann;two-opt;780;1000;boltzmann;7006.1;1053;12.3799;8007;1034;10.3522;8007.8;978;4.37567;7005.8;1064;13.5539;8007.6;1131;20.7044;8007.3;978;4.37567;7006.3;1023;9.17823;8007.4;1145;22.1985;8007.9;955;1.92102;7005.5;1052;12.2732;8007.9;999;6.61687;9007.7;1018;8.6446;7006.4;1066;13.7673;7005.9;1086;15.9018;7006.6;966;3.09498;7006.1;1030;9.92529;8006.7;1054;12.4867;7006.5;1032;10.1387;7005.3;1050;12.0598;11009.9;988;5.44291;8007.6;1080;15.2615;8007.5;1085;15.7951;8007.3;1124;19.9573;7509.2;1124;19.9573;7552.1;1062;13.3404;8001.1;1009;7.6841;8007;1084;15.6884;8006.9;995;6.18997;7530.5;937;0;7006.6;1027;9.60512;11.0957;7725.783333
tsp_26.txt;30;937;boltzmann;two-opt;1560;1000;boltzmann;7629.9;1059;13.0203;7006.6;1023;9.17823;7008.3;1045;11.5261;7279.3;1119;19.4237;8003;1024;9.28495;7007.5;1163;24.1195;7008.8;960;2.45464;8007.7;1106;18.0363;8006.9;955;1.92102;8006.8;1090;16.3287;8009.1;1032;10.1387;7008.4;1070;14.1942;8008;1001;6.83031;8007.3;1154;23.159;7006.9;1025;9.39168;7510.9;1004;7.15048;7006.1;1108;18.2497;8006.9;1036;10.5656;8007.3;1002;6.93704;8007.2;1083;15.5816;8007.4;1121;19.6371;8007.1;1044;11.4194;8007.6;986;5.22946;8007;988;5.44291;8007.7;1044;11.4194;8007.6;1101;17.5027;8006.6;1117;19.2102;7006.3;1044;11.4194;7005.3;1050;12.0598;8007.3;1018;8.6446;12.3159;7653.76
tsp_26.txt;30;937;boltzmann;two-opt;2340;1000;boltzmann;8007.1;1127;20.2775;7005.9;1179;25.8271;7005.9;993;5.97652;8007.6;962;2.66809;8007.2;1058;12.9135;7006;1055;12.5934;7005.7;1034;10.3522;7005.7;1136;21.238;8008;1130;20.5976;7005.6;1052;12.2732;8007.7;1080;15.2615;7006;1164;24.2262;8007.1;1064;13.5539;7006.2;976;4.16222;7005.9;972;3.73533;8007.5;1030;9.92529;8008;1108;18.2497;7005.6;980;4.58912;8007.4;1034;10.3522;8007.1;1041;11.0993;7006.3;1008;7.57737;7005.7;1045;11.5261;8007.8;953;1.70758;7005.9;968;3.30843;8007.8;1036;10.5656;8007.2;1029;9.81857;8007.4;1110;18.4632;7015.2;955;1.92102;8007.7;977;4.26894;8007.1;1049;11.953;11.3661;7540.376667
